"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33423238","4412","594981","70","26325307","550","6502950","9137","100476","1789","456065435","1371013","332648503","North America","10","559","1","13","0.2","19549"
"2","2","India","22271530","384919","242029","3764","18290133","373048","3739368","8944","16005","174","300410043","215890","1391494040","Asia","62","5749","5","277","3","2687"
"3","3","Brazil","15087360","","419393","","13640478","","1027489","8318","70554","1961","46616516","217997","213840120","South America","14","510","5",NA,NA,"4805"
"4","4","France","5767959","20745","106277","176","4833157","15634","828525","5005","88200","1625","78568784","1201429","65396123","Europe","11","615","1","317","3","12669"
"5","5","Turkey","5016141","18052","42746","281","4691224","28896","282171","3175","58939","502","49192673","578007","85107359","Asia","17","1991","2","212","3","3315"
"6","6","Russia","4871843","8329","112992","370","4488615","8255","270236","2300","33372","774","131100000","898021","145987611","Europe","30","1292","1","57","3","1851"
"7","7","UK","4433090","2047","127603","5","4245744","3552","59743","163","65012","1871","163171777","2392953","68188452","Europe","15","534","0","30","0.07","876"
"8","8","Italy","4102921","10176","122694","224","3590107","17394","390120","2211","67945","2032","60871018","1008027","60386272","Europe","15","492","1","169","4","6460"
"9","9","Spain","3567408","","78792","","3248010","","240606","2183","76275","1685","47213067","1009470","46770160","Europe","13","594","1",NA,NA,"5144"
"10","10","Germany","3510506","6494","85184","128","3147100","18300","278222","5049","41786","1014","56836969","676540","84011297","Europe","24","986","1","77","2","3312"
"11","11","Argentina","3118134","","66872","","2777902","","273360","5268","68460","1468","11683923","256524","45547060","South America","15","681","4",NA,NA,"6002"
"12","12","Colombia","2968626","","76867","","2788751","","103008","6006","57821","1497","15283737","297685","51342040","South America","17","668","3",NA,NA,"2006"
"13","13","Poland","2829196","4765","69866","421","2563079","8020","196251","2157","74824","1848","14678781","388211","37811389","Europe","13","541","3","126","11","5190"
"14","14","Iran","2640670","13576","74524","283","2092381","18292","473765","5545","31102","878","16929609","199401","84902433","Asia","32","1139","5","160","3","5580"
"15","15","Mexico","2361874","3043","218657","484","1881818","2105","261399","4798","18157","1681","6734249","51770","130079641","North America","55","595","19","23","4","2010"
"16","16","Ukraine","2114138","8710","46200","370","1750570","19408","317368","177","48589","1062","9594857","220520","43510196","Europe","21","942","5","200","9","7294"
"17","17","Peru","1839465","","63519","","1720665","","55281","2666","55139","1904","11555688","346391","33360257","South America","18","525","3",NA,NA,"1657"
"18","18","Indonesia","1709762","6130","46842","179","1563917","5494","99003","","6195","170","15173829","54983","275972350","Asia","161","5892","18","22","0.6","359"
"19","19","Czechia","1644335","1631","29647","15","1575399","142","39289","386","153306","2764","19804403","1846418","10725848","Europe","7","362","1","152","1","3663"
"20","20","South Africa","1592326","","54687","","1513202","","24437","546","26565","912","10831738","180706","59941326","Africa","38","1096","6",NA,NA,"408"
"21","21","Netherlands","1553469","7399","17319","29","1309846","7761","226304","771","90491","1009","12762141","743409","17167057","Europe","11","991","1","431","2","13182"
"22","22","Canada","1276991","3822","24561","32","1172051","4629","80379","1331","33585","646","32408919","852362","38022488","North America","30","1548","1","101","0.8","2114"
"23","23","Chile","1241976","6198","27101","97","1177342","6905","37533","3138","64501","1407","13495109","700855","19255219","South America","16","710","1","322","5","1949"
"24","24","Iraq","1103950","","15702","","992423","","95825","533","26937","383","9606567","234402","40983371","Asia","37","2610","4",NA,NA,"2338"
"25","25","Philippines","1094849","6979","18269","170","1013204","10179","63376","750","9880","165","12239858","110453","110814711","Asia","101","6066","9","63","2","572"
"26","26","Romania","1065254","1305","28903","104","1011694","2457","24657","1026","55689","1511","8456983","442115","19128475","Europe","18","662","2","68","5","1289"
"27","27","Belgium","1010987","3723","24483","39","880229","","106275","744","86911","2105","12885085","1107688","11632413","Europe","12","475","1","320","3","9136"
"28","28","Sweden","1007792","","14173","","835422","","158197","403","99264","1396","8798383","866609","10152657","Europe","10","716","1",NA,NA,"15582"
"29","29","Pakistan","854240","4109","18797","120","752712","4957","82731","4986","3805","84","12149935","54117","224512144","Asia","263","11944","18","18","0.5","368"
"30","30","Portugal","839258","406","16991","2","800007","565","22260","74","82511","1670","10832463","1064989","10171433","Europe","12","599","1","40","0.2","2188"
"31","31","Israel","838858","","6375","","831432","","1051","87","91204","693","14346755","1559839","9197590","Asia","11","1443","1",NA,NA,"114"
"32","32","Hungary","790564","1376","28504","101","561119","7283","200941","420","82013","2957","5494198","569967","9639499","Europe","12","338","2","143","10","20846"
"33","33","Bangladesh","772127","1285","11878","45","706833","2492","53416","1114","4649","72","5613979","33803","166078786","Asia","215","13982","30","8","0.3","322"
"34","34","Jordan","719233","601","9076","29","701191","1731","8966","729","69904","882","6824502","663287","10288909","Asia","14","1134","2","58","3","871"
"35","35","Serbia","699574","1056","6539","20","658453","2584","34582","135","80342","751","3919856","450173","8707441","Europe","12","1332","2","121","2","3972"
"36","36","Switzerland","670613","","10704","2","601958","","57951","205","77009","1229","7088449","813991","8708265","Europe","13","814","1",NA,"0.2","6655"
"37","37","Austria","630050","1233","10374","23","601958","2104","17718","405","69619","1146","34299962","3790062","9049975","Europe","14","872","0","136","3","1958"
"38","38","Japan","626522","6054","10702","113","551293","5251","64527","1131","4967","85","12353334","97928","126147280","Asia","201","11787","10","48","0.9","512"
"39","39","UAE","534445","1735","1610","3","514769","1701","18066","","53490","161","45667425","4570618","9991520","Asia","19","6206","0","174","0.3","1808"
"40","40","Lebanon","532269","435","7460","24","481968","3486","42841","453","78281","1097","4097623","602641","6799448","Asia","13","911","2","64","4","6301"
"41","41","Morocco","513628","314","9064","7","500540","348","4024","128","13777","243","6330343","169802","37280793","Africa","73","4113","6","8","0.2","108"
"42","42","Malaysia","436944","4519","1657","25","398723","2719","36564","393","13355","51","9980413","305055","32716812","Asia","75","19745","3","138","0.8","1118"
"43","43","Saudi Arabia","425442","997","7059","14","408676","1026","9707","1319","12062","200","17459285","494989","35272085","Asia","83","4997","2","28","0.4","275"
"44","44","Bulgaria","409495","","16886","","347870","","44739","570","59313","2446","2577231","373300","6903920","Europe","17","409","3",NA,NA,"6480"
