"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","",161513458,2069.01140646265,4955231,63.4772457206466,677387,3352109,42.9410145915278,87072,1.11540526352619,12936,""
"United States of America","Americas",32534073,9828.95,241626,73,37587,578984,174.92,4291,1.3,727,"Community transmission"
"India","South-East Asia",24372907,1766.15,2480231,179.73,326098,266207,19.29,27937,2.02,3890,"Clusters of cases"
"Brazil","Americas",15433989,7261.02,430426,202.5,74592,430417,202.49,13468,6.34,2383,"Community transmission"
"France","Europe",5754154,8847.19,98606,151.61,6993,106666,164,1327,2.04,173,"Community transmission"
"Turkey","Europe",5095390,6041.55,97301,115.37,11394,44301,52.53,1836,2.18,242,"Community transmission"
"Russian Federation","Europe",4931691,3379.39,59848,41.01,8790,115480,79.13,2488,1.7,364,"Clusters of cases"
"The United Kingdom","Europe",4446828,6550.43,15781,23.25,2193,127668,188.06,70,0.1,17,"Community transmission"
"Italy","Europe",4146722,6952.75,53975,90.5,7562,123927,207.79,1457,2.44,182,"Clusters of cases"
"Spain","Europe",3598452,7602.48,26925,56.88,0,79281,167.5,211,0.45,0,"Community transmission"
"Germany","Europe",3584934,4310.54,77261,92.9,7894,86025,103.44,1377,1.66,177,"Community transmission"
"Argentina","Americas",3242103,7173.46,146521,324.19,26531,69254,153.23,2991,6.62,447,"Community transmission"
"Colombia","Americas",3067879,6029.29,116778,229.5,19160,79760,156.75,3346,6.58,499,"Community transmission"
"Poland","Europe",2851911,7513.31,22715,59.84,2897,71609,188.65,1723,4.54,298,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2732152,3252.83,105058,125.08,10145,76433,91,2192,2.61,202,"Community transmission"
"Mexico","Americas",2375115,1842.13,16284,12.63,3632,219901,170.55,1728,1.34,311,"Community transmission"
"Ukraine","Europe",2150244,4916.67,36106,82.56,6796,47942,109.62,1742,3.98,322,"Community transmission"
"Peru","Americas",1873316,5681.56,40645,123.27,7677,65316,198.1,2093,6.35,418,"Community transmission"
"Indonesia","South-East Asia",1734285,634.05,30653,11.21,2633,47823,17.48,1160,0.42,107,"Community transmission"
"Czechia","Europe",1652238,15450.23,7903,73.9,1060,29886,279.47,239,2.23,29,"Community transmission"
"South Africa","Africa",1608393,2711.9,15767,26.58,3141,55124,92.94,437,0.74,112,"Community transmission"
"Netherlands","Europe",1589282,9129.82,43541,250.13,5608,17423,100.09,134,0.77,10,"Community transmission"
"Canada","Americas",1312408,3477.3,47088,124.76,6638,24825,65.78,336,0.89,59,"Community transmission"
"Chile","Americas",1273516,6661.97,37738,197.41,6915,27647,144.63,643,3.36,127,"Community transmission"
"Iraq","Eastern Mediterranean",1134859,2821.45,30909,76.85,2767,15910,39.55,208,0.52,27,"Community transmission"
"Philippines","Western Pacific",1131467,1032.54,43597,39.79,6784,18958,17.3,859,0.78,137,"Community transmission"
"Romania","Europe",1070605,5538.9,6656,34.44,835,29413,152.17,614,3.18,105,"Community transmission"
"Sweden","Europe",1037126,10042.29,29389,284.57,3852,14275,138.22,24,0.23,0,"Community transmission"
"Belgium","Europe",1028104,8922.62,11859,102.92,0,24664,214.05,154,1.34,0,"Community transmission"
"Pakistan","Eastern Mediterranean",873220,395.31,23089,10.45,2517,19384,8.78,707,0.32,48,"Community transmission"
"Portugal","Europe",841379,8171.97,2527,24.54,450,16999,165.1,10,0.1,0,"Clusters of cases"
"Israel","Europe",839079,9694.13,289,3.34,3,6380,73.71,9,0.1,1,"Community transmission"
"Hungary","Europe",797429,8162.41,6865,70.27,1039,29114,298.01,610,6.24,73,"Community transmission"
"Bangladesh","South-East Asia",779535,473.34,8693,5.28,848,12102,7.35,269,0.16,26,"Community transmission"
"Jordan","Eastern Mediterranean",723069,7086.73,4437,43.49,315,9224,90.4,177,1.73,21,"Community transmission"
"Serbia","Europe",705185,10180.67,6667,96.25,787,6646,95.95,127,1.83,17,"Community transmission"
"Switzerland","Europe",676437,7815.91,6730,77.76,2,10122,116.95,19,0.22,0,"Community transmission"
