"","Id","continent","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1",NA,"North America","38641892","10681","867457","434","30435520","4221","7338915","17264","","","","","","North America","","","",NA,NA,""
"2",NA,"Asia","42390097","424734","551262","4222","36433771","352713","5405064","33513","","","","","","Asia","","","",NA,NA,""
"3",NA,"South America","25450095","10413","691103","321","23130256","6631","1628736","27735","","","","","","South America","","","",NA,NA,""
"4",NA,"Europe","45170393","78265","1027986","2306","40262152","112803","3880255","27770","","","","","","Europe","","","",NA,NA,""
"5",NA,"Africa","4638976","2354","123630","76","4169969","3235","345377","3522","","","","","","Africa","","","",NA,NA,""
"6",NA,"Oceania","63652","251","1208","","60429","142","2015","4","","","","","","Australia/Oceania","","","",NA,NA,""
