"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33369192","47819","594006","860","26105411","70097","6669775","9279","100315","1786","454453202","1366188","332643210","North America","10","560","1","144","3","20051"
"2","2","India","21485285","414433","234071","3920","17597410","328334","3653804","8944","15441","168","296775209","213284","1391457000","Asia","65","5945","5","298","3","2626"
"3","3","Brazil","15009023","72559","417176","2531","13591335","61763","1000512","8318","70189","1951","46616516","218001","213835998","South America","14","513","5","339","12","4679"
"4","4","France","5728090","21712","105850","219","4786973","57555","835267","5231","87591","1619","77792623","1189567","65395729","Europe","11","618","1","332","3","12773"
"5","5","Turkey","4977982","22388","42187","304","4626799","37298","308996","3378","58492","496","48712606","572383","85104881","Asia","17","2017","2","263","4","3631"
"6","6","Russia","4855128","7639","112246","351","4472338","7788","270544","2300","33257","769","130600000","894598","145987440","Europe","30","1301","1","52","2","1853"
"7","7","UK","4428553","2613","127583","13","4240475","2562","60495","182","64947","1871","161933673","2374830","68187480","Europe","15","534","0","38","0.2","887"
"8","8","Italy","4082198","11807","122263","258","3557133","15867","402802","2308","67601","2025","60203970","996977","60386514","Europe","15","494","1","196","4","6670"
"9","9","Spain","3559222","7960","78726","160","3239382","6456","241114","2212","76100","1683","47213067","1009471","46770110","Europe","13","594","1","170","3","5155"
"10","10","Germany","3486462","17014","84811","218","3107300","22600","294351","5049","41500","1010","56836969","676545","84010567","Europe","24","991","1","203","3","3504"
"11","11","Argentina","3095582","24086","66263","398","2757230","22765","272089","5299","67966","1455","11610358","254915","45545928","South America","15","687","4","529","9","5974"
"12","12","Colombia","2951101","16490","76414","399","2773220","18280","101467","6006","57481","1488","15201520","296092","51340559","South America","17","672","3","321","8","1976"
"13","13","Poland","2818378","6431","68993","510","2546751","6067","202634","2334","74538","1825","14546443","384709","37811502","Europe","13","548","3","170","13","5359"
"14","14","Iran","2610018","18409","73906","338","2057692","18265","478420","5515","30742","871","16652514","196144","84899496","Asia","33","1149","5","217","4","5635"
"15","15","Mexico","2355985","3021","218007","267","1877347","2136","260631","4798","18112","1676","6697736","51491","130075942","North America","55","597","19","23","2","2004"
"16","16","Ukraine","2097024","6038","45451","374","1711709","14351","339864","177","48195","1045","9487141","218041","43510910","Europe","21","957","5","139","9","7811"
"17","17","Peru","1824457","","62976","","1720665","","40816","2660","54692","1888","11411358","342077","33359002","South America","18","530","3","",NA,"1224"
"18","18","Indonesia","1697305","5647","46496","147","1552532","5440","98277","","6150","168","15023292","54439","275964453","Asia","163","5935","18","20","0.5","356"
"19","19","Czechia","1641120","1857","29521","17","1569862","125","41737","435","153007","2752","19341919","1803309","10725794","Europe","7","363","1","173","2","3891"
"20","20","South Africa","1590370","2149","54620","63","1511905","1520","23845","546","26533","911","10805804","180279","59939283","Africa","38","1097","6","36","1","398"
"21","21","Netherlands","1538589","6789","17269","24","1295762","5517","225558","806","89625","1006","12762141","743413","17166953","Europe","11","994","1","395","1","13139"
"22","22","Canada","1265320","7992","24489","39","1159506","8299","81325","1456","33279","644","32266260","848630","38021585","North America","30","1553","1","210","1","2139"
"23","23","Chile","1229248","6299","26895","169","1166227","5282","36126","3188","63841","1397","13366644","694199","19254771","South America","16","716","1","327","9","1876"
"24","24","Iraq","1098187","6233","15673","33","986134","7093","96380","566","26798","382","9565625","233417","40980899","Asia","37","2615","4","152","0.8","2352"
"25","25","Philippines","1080172","6637","17991","191","999011","6091","63170","750","9748","162","12120695","109382","110810725","Asia","103","6159","9","60","2","570"
"26","26","Romania","1062527","1632","28710","94","1005623","2638","28194","1100","55546","1501","8381037","438137","19128823","Europe","18","666","2","85","5","1474"
"27","27","Belgium","1003746","4119","24406","39","876629","","102711","794","86290","2098","12759277","1096886","11632275","Europe","12","477","1","354","3","8830"
"28","28","Sweden","1002121","","14158","33","827637","6806","160326","401","98707","1395","8798383","866624","10152485","Europe","10","717","1","","3","15792"
"29","29","Pakistan","845833","4197","18537","108","743124","4397","84172","5107","3768","83","12056986","53706","224500406","Asia","265","12111","19","19","0.5","375"
"30","30","Israel","838828","61","6374","4","831331","113","1123","87","91201","693","14315208","1556409","9197590","Asia","11","1443","1","7","0.4","122"
"31","31","Portugal","838475","373","16988","5","798952","538","22535","77","82434","1670","10781631","1059983","10171514","Europe","12","599","1","37","0.5","2216"
"32","32","Hungary","787647","1680","28297","124","546246","7281","213104","485","81710","2936","5475551","568029","9639566","Europe","12","341","2","174","13","22107"
"33","33","Bangladesh","769160","1822","11796","41","702163","3698","55201","1120","4631","71","5582263","33613","166074306","Asia","216","14079","30","11","0.2","332"
"34","34","Jordan","717930","1007","9014","26","698201","1677","10715","729","69779","876","6798116","660741","10288632","Asia","14","1141","2","98","3","1041"
"35","35","Serbia","697241","1366","6499","21","653821","2561","36921","138","80073","746","3894730","447283","8707537","Europe","12","1340","2","157","2","4240"
"36","36","Switzerland","669067","1687","10695","10","599677","1637","58695","214","76833","1228","7057364","810437","8708092","Europe","13","814","1","194","1","6740"
"37","37","Austria","627484","1245","10333","22","597922","2045","19229","434","69337","1142","33702259","3724074","9049835","Europe","14","876","0","138","2","2125"
"38","38","Japan","616123","3763","10517","47","542569","3623","63037","1098","4884","83","12150722","96321","126148334","Asia","205","11995","10","30","0.4","500"
"39","39","Lebanon","531234","1017","7415","25","475383","2269","48436","478","78128","1091","4069394","598482","6799531","Asia","13","917","2","150","4","7123"
