"contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33695916","","599863",NA,"27098620","","5997433","8016","101283","1803","465224944","1398370","332690850","North America","10","555","1",NA,NA,"18027"
"India","24684077","1012","270319",NA,"20795335","6297","3618423","8944","17735","194","314850143","226220","1391790362","Asia","56","5149","4","0.7",NA,"2600"
"Brazil","15590613","","434852",NA,"14062396","","1093365","8318","72897","2033","46970130","219617","213873096","South America","14","492","5",NA,NA,"5112"
"France","5863839","","107535",NA,"5080344","","675960","4271","89662","1644","81156099","1240933","65399271","Europe","11","608","1",NA,NA,"10336"
"Turkey","5106862","","44537",NA,"4932838","","129487","2563","59991","523","50667653","595199","85127184","Asia","17","1911","2",NA,NA,"1521"
"Russia","4931691","","115480",NA,"4547500","","268711","2300","33781","791","133100000","911713","145988974","Europe","30","1264","1",NA,NA,"1841"
"UK","4448851","","127675",NA,"4275502","","45674","129","65236","1872","169007195","2478248","68196231","Europe","15","534","0",NA,NA,"670"
"Italy","4153374","","124063",NA,"3696481","","332830","1805","68782","2055","62700094","1038350","60384337","Europe","15","487","1",NA,NA,"5512"
"Spain","3604799","","79339",NA,"3297340","","228120","1899","77074","1696","47213067","1009461","46770554","Europe","13","590","1",NA,NA,"4877"
"Germany","3595872","","86669",NA,"3286400","10900","222803","4376","42799","1032","58093759","691451","84017137","Europe","23","969","1",NA,NA,"2652"
"Argentina","3290935","","70253",NA,"2933946","","286736","5517","72239","1542","12331859","270696","45556116","South America","14","648","4",NA,NA,"6294"
"Colombia","3103333","","80780",NA,"2902646","","119907","6582","60430","1573","15863467","308905","51353888","South America","17","636","3",NA,NA,"2335"
"Poland","2851911","","71609",NA,"2595635","","184667","1627","75426","1894","15135124","400289","37810486","Europe","13","528","2",NA,NA,"4884"
"Iran","2739875","","76633",NA,"2210851","","452391","5396","32262","902","17882461","210565","84925931","Asia","31","1108","5",NA,NA,"5327"
"Mexico","2380690","2695","220380","221","1899742","2155","260568","4798","18298","1694","6846110","52618","130109231","North America","55","590","19","21","2","2003"
"Ukraine","2150244","","47942",NA,"1849803","","252499","177","49426","1102","9824399","225825","43504483","Europe","20","907","4",NA,NA,"5804"
"Peru","1884596","","65911",NA,"1720665","","98020","2676","56475","1975","12034432","360633","33370299","South America","18","506","3",NA,NA,"2937"
"Indonesia","1736670","","47967",NA,"1597067","","91636","","6291","174","15481111","56084","276035532","Asia","159","5755","18",NA,NA,"332"
"Czechia","1652238","","29886",NA,"1592219","","30133","293","154036","2786","21214900","1977843","10726281","Europe","6","359","1",NA,NA,"2809"
"South Africa","1611143","","55183",NA,"1523243","","32717","546","26871","920","11087505","184922","59957669","Africa","37","1087","5",NA,NA,"546"
"Netherlands","1593728","","17436",NA,"1360709","","215583","704","92832","1016","13171698","767229","17167883","Europe","11","985","1",NA,NA,"12557"
"Canada","1323681","","24908",NA,"1226870","","71903","1344","34806","655","33383698","877832","38029713","North America","29","1527","1",NA,NA,"1891"
"Chile","1280252","","27734",NA,"1214817","","37701","2953","66476","1440","13881510","720788","19258802","South America","15","694","1",NA,NA,"1958"
"Philippines","1138187","","19051",NA,"1062427","","56709","1819","10268","172","12570563","113405","110846594","Asia","97","5818","9",NA,NA,"512"
"Iraq","1136917","","15930",NA,"1039616","","81371","465","27728","389","9855685","240364","41003148","Asia","36","2574","4",NA,NA,"1985"
"Romania","1071334","","29485",NA,"1023822","","18027","784","56015","1542","8659474","452767","19125685","Europe","18","649","2",NA,NA,"943"
"Sweden","1037126","","14275",NA,"885820","7667","137031","341","102139","1406","8798383","866492","10154031","Europe","10","711","1",NA,NA,"13495"
