"","Id","continent","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1",NA,"North America","38701507","3620","868551","232","30521207","3212","7311749","17151","","","","","","North America","","","",NA,NA,""
"2",NA,"Asia","42555508","70487","553548","1025","36600026","70338","5401934","33611","","","","","","Asia","","","",NA,NA,""
"3",NA,"South America","25581250","1783","694866","28","23239762","791","1646622","27709","","","","","","South America","","","",NA,NA,""
"4",NA,"Europe","45263560","49575","1030233","1707","40427268","99263","3806059","27317","","","","","","Europe","","","",NA,NA,""
"5",NA,"Africa","4649975","919","123948","11","4183095","1000","342932","3453","","","","","","Africa","","","",NA,NA,""
"6",NA,"Oceania","63663","8","1209","","60439","3","2015","4","","","","","","Australia/Oceania","","","",NA,NA,""
