"contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33664013","","599314",NA,"26712821","","6351878","8346","101189","1801","464099542","1395010","332685557","North America","10","555","1",NA,NA,"19093"
"India","24372907","664","266229",NA,"20432898","6575","3673780","8944","17512","191","313017193","224909","1391753322","Asia","57","5228","4","0.5",NA,"2640"
"Brazil","15521313","","432785",NA,"14028355","","1060173","8318","72574","2024","46970130","219621","213868974","South America","14","494","5",NA,NA,"4957"
"France","5848154","","107423",NA,"5042411","","698320","4352","89423","1643","80698552","1233944","65398877","Europe","11","609","1",NA,NA,"10678"
"Turkey","5095390","","44301",NA,"4894024","","157065","2670","59858","520","50463016","592813","85124706","Asia","17","1922","2",NA,NA,"1845"
"Russia","4922901","","115116",NA,"4537634","","270151","2300","33721","789","132700000","908974","145988804","Europe","30","1268","1",NA,NA,"1850"
"UK","4446824","","127668",NA,"4273441","","45715","129","65207","1872","169007195","2478284","68195259","Europe","15","534","0",NA,NA,"670"
"Italy","4146722","","123927",NA,"3683189","","339606","1860","68672","2052","62405408","1033466","60384578","Europe","15","487","1",NA,NA,"5624"
"Spain","3604799","","79339",NA,"3297340","","228120","1899","77074","1696","47213067","1009462","46770505","Europe","13","590","1",NA,NA,"4877"
"Germany","3585891","","86481",NA,"3275500","16500","223910","4376","42681","1029","58093759","691457","84016407","Europe","23","972","1",NA,NA,"2665"
"Argentina","3269466","","69853",NA,"2913144","","286469","5457","71770","1533","12224943","268356","45554984","South America","14","652","4",NA,NA,"6288"
"Colombia","3084460","","80250",NA,"2888990","","115220","6582","60065","1563","15783446","307356","51352407","South America","17","640","3",NA,NA,"2244"
"Poland","2849014","","71311",NA,"2589277","","188426","1690","75350","1886","15078062","398779","37810599","Europe","13","530","3",NA,NA,"4983"
"Iran","2732152","","76433",NA,"2196197","","459522","5468","32172","900","17750149","209015","84922994","Asia","31","1111","5",NA,NA,"5411"
"Mexico","2377995","2880","220159","258","1897587","2104","260249","4798","18277","1692","6829477","52492","130105532","North America","55","591","19","22","2","2000"
"Ukraine","2143448","","47620",NA,"1832601","","263227","177","49269","1095","9790291","225037","43505197","Europe","20","914","4",NA,NA,"6050"
"Peru","1879049","","65608",NA,"1720665","","92776","2685","56311","1966","11972376","358787","33369044","South America","18","509","3",NA,NA,"2780"
"Indonesia","1734285","","47823",NA,"1592886","","93576","","6283","173","15410887","55831","276027635","Asia","159","5772","18",NA,NA,"339"
"Czechia","1651178","","29857",NA,"1588346","","32975","319","153938","2784","21004062","1958197","10726227","Europe","6","359","1",NA,NA,"3074"
"South Africa","1608393","","55124",NA,"1522165","","31104","546","26826","919","11052993","184353","59955627","Africa","37","1088","5",NA,NA,"519"
"Netherlands","1589282","","17423",NA,"1351988","","219871","722","92574","1015","13171698","767234","17167780","Europe","11","985","1",NA,NA,"12807"
"Canada","1318405","","24869",NA,"1220110","","73426","1327","34669","654","33260624","874616","38028810","North America","29","1529","1",NA,NA,"1931"
"Chile","1273516","","27647",NA,"1208396","","37473","2976","66128","1436","13816198","717413","19258354","South America","15","697","1",NA,NA,"1946"
"Iraq","1134859","","15910",NA,"1034396","","84553","457","27679","388","9840649","240012","41000676","Asia","36","2577","4",NA,NA,"2062"
"Philippines","1131467","","18958",NA,"1053523","","58986","1819","10208","171","12529921","113042","110842608","Asia","98","5847","9",NA,NA,"532"
"Romania","1070605","","29413",NA,"1022029","","19163","809","55976","1538","8626765","451048","19126034","Europe","18","650","2",NA,NA,"1002"
"Sweden","1037126","","14275",NA,"878153","","144698","341","102141","1406","8798383","866506","10153859","Europe","10","711","1",NA,NA,"14251"
"Belgium","1028104","1631","24664","19","905973","","97467","644","88375","2120","13210753","1135591","11633375","Europe","11","472","1","140","2","8378"
"Pakistan","874751","1531","19467","83","783480","3042","71804","4387","3895","87","12410924","55259","224594312","Asia","257","11537","18","7","0.4","320"
"Portugal","841379","","16999",NA,"802285","","22095","72","82724","1671","11091313","1090498","10170866","Europe","12","598","1",NA,NA,"2172"
"Israel","839079","","6380",NA,"831950","","749","73","91228","694","14487253","1575114","9197590","Asia","11","1442","1",NA,NA,"81"
"Hungary","796390","","29041",NA,"608891","","158458","338","82621","3013","5607336","581732","9639032","Europe","12","332","2",NA,NA,"16439"
"Bangladesh","779535","","12102",NA,"720471","","46962","1149","4693","73","5698528","34306","166110142","Asia","213","13726","29",NA,NA,"283"
"Jordan","723069","","9224",NA,"710445","","3400","729","70263","896","6912958","671758","10290844","Asia","14","1116","1",NA,NA,"330"
"Serbia","705185","","6646",NA,"673038","","25501","101","80993","763","3989567","458214","8706771","Europe","12","1310","2",NA,NA,"2929"
"Switzerland","679510","","10730",NA,"617283","","51497","179","78020","1232","7273942","835176","8709474","Europe","13","812","1",NA,NA,"5913"
"Japan","665547","","11255",NA,"579446","","74846","1209","5276","89","12913954","102378","126139908","Asia","190","11207","10",NA,NA,"593"
"Austria","635780","","10455",NA,"612523","","12802","322","70245","1155","35939913","3970842","9050956","Europe","14","866","0",NA,NA,"1414"
"UAE","543610","","1626",NA,"523778","","18206","","54395","163","46799807","4682882","9993805","Asia","18","6146","0",NA,NA,"1822"
"Lebanon","534968","","7569",NA,"492270","","35129","333","78685","1113","4163257","612346","6798866","Asia","13","898","2",NA,NA,"5167"
"Morocco","514705","","9092",NA,"502604","","3009","94","13803","244","6370615","170844","37289158","Africa","72","4101","6",NA,NA,"81"
"Malaysia","462190","","1822",NA,"418897","","41471","482","14124","56","10397529","317727","32724742","Asia","71","17961","3",NA,NA,"1267"
"Nepal","439658","","4669",NA,"327653","","107336","","14859","158","2733510","92382","29589353","Asia","67","6337","11",NA,NA,"3628"
"Saudi Arabia","431432","","7134",NA,"415747","","8551","1323","12228","202","17868871","506452","35282461","Asia","82","4946","2",NA,NA,"242"
"Bulgaria","413838","","17243",NA,"361993","","34602","504","59951","2498","2656622","384855","6902925","Europe","17","400","3",NA,NA,"5013"
"Ecuador","407002","","19514",NA,"342878","","44610","572","22770","1092","1359491","76057","17874632","South America","44","916","13",NA,NA,"2496"
"Slovakia","387162","","12168",NA,"370043","","4951","214","70884","2228","2752948","504024","5461938","Europe","14","449","2",NA,NA,"906"
