"contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33626422","325","598542","2","26667224","25","6360656","8611","101077","1799","462798339","1391121","332680263","North America","10","556","1","1","0.01","19119"
"India","24062205","16085","262425","75","20079599","6232","3720181","8944","17290","189","311324100","223698","1391716282","Asia","58","5303","4","12","0.05","2673"
"Brazil","15436827","","430596","","13979329","","1026902","8318","72180","2013","46970130","219625","213864852","South America","14","497","5",NA,NA,"4802"
"France","5841129","","107250","","4999079","","734800","4442","89316","1640","80214807","1226555","65398484","Europe","11","610","1",NA,NA,"11236"
"Turkey","5083996","","44059","","4856763","","183174","2765","59726","518","50259943","590444","85122228","Asia","17","1932","2",NA,NA,"2152"
"Russia","4922901","9462","115116","393","4537634","9756","270151","2300","33721","789","132700000","908975","145988633","Europe","30","1268","1","65","3","1850"
"UK","4444631","","127651","","4258298","","58682","136","65176","1872","169007195","2478319","68194286","Europe","15","534","0",NA,NA,"861"
"Italy","4139160","","123745","","3669407","","346008","1893","68546","2049","62107222","1028524","60384820","Europe","15","488","1",NA,NA,"5730"
"Spain","3598452","","79281","","3297340","","221831","1931","76939","1695","47213067","1009463","46770455","Europe","13","590","1",NA,NA,"4743"
"Germany","3578313","2669","86398","122","3259000","18700","232915","4376","42591","1028","58093759","691463","84015677","Europe","23","972","1","32","1","2772"
"Argentina","3242103","","69254","","2891435","","281414","5420","71171","1520","12142248","266547","45553852","South America","14","658","4",NA,NA,"6178"
"Colombia","3067879","","79760","","2874656","","113463","6582","59743","1553","15711926","305972","51350926","South America","17","644","3",NA,NA,"2210"
"Poland","2849014","3288","71311","289","2589277","4526","188426","1690","75349","1886","15078062","398778","37810712","Europe","13","530","3","87","8","4983"
"Iran","2732152","10145","76433","202","2196197","16307","459522","5468","32173","900","17750149","209022","84920057","Asia","31","1111","5","119","2","5411"
"Mexico","2375115","3632","219901","311","1895483","2247","259731","4798","18256","1690","6811363","52354","130101834","North America","55","592","19","28","2","1996"
"Ukraine","2143448","7562","47620","287","1832601","15958","263227","177","49268","1095","9790291","225034","43505911","Europe","20","914","4","174","7","6050"
"Peru","1873316","","65316","","1720665","","87335","2681","56141","1957","11901521","356677","33367789","South America","18","511","3",NA,NA,"2617"
"Indonesia","1734285","2633","47823","107","1592886","3807","93576","","6283","173","15410887","55833","276019737","Asia","159","5772","18","10","0.4","339"
"Czechia","1651178","1218","29857","11","1588346","99","32975","319","153939","2784","21004062","1958207","10726173","Europe","6","359","1","114","1","3074"
"South Africa","1605252","","55012","","1520878","","29362","546","26775","918","11010999","183659","59953584","Africa","37","1090","5",NA,NA,"490"
"Netherlands","1589282","5515","17423","10","1351998","5372","219861","722","92574","1015","13171698","767238","17167676","Europe","11","985","1","321","0.6","12807"
"Canada","1312414","","24825","","1212114","","75475","1327","34512","653","33130218","871208","38027907","North America","29","1532","1",NA,NA,"1985"
"Chile","1266601","","27520","","1204176","","34905","2976","65770","1429","13750280","714007","19257906","South America","15","700","1",NA,NA,"1813"
"Iraq","1132092","","15883","","1028627","","87582","471","27613","387","9817969","239473","40998203","Asia","36","2581","4",NA,NA,"2136"
"Philippines","1131467","6784","18958","137","1053523","2972","58986","1819","10208","171","12529921","113047","110838623","Asia","98","5847","9","61","1","532"
"Romania","1070605","835","29413","105","1022029","1835","19163","809","55975","1538","8626765","451040","19126382","Europe","18","650","2","44","5","1002"
"Sweden","1037126","","14275","36","878189","7117","144662","341","102143","1406","8798383","866521","10153687","Europe","10","711","1",NA,"4","14247"
"Belgium","1026473","2890","24645","15","897904","","103924","657","88236","2118","13182705","1133193","11633238","Europe","11","472","1","248","1","8933"
"Pakistan","873220","2517","19384","48","780438","4123","73398","4330","3888","86","12380676","55128","224582574","Asia","257","11586","18","11","0.2","327"
"Portugal","840929","","16999","","801961","","21969","70","82680","1671","11052822","1086705","10170947","Europe","12","598","1",NA,NA,"2160"
"Israel","839076","17","6379","","831922","34","775","68","91228","694","14487253","1575114","9197590","Asia","11","1442","1","2",NA,"84"
"Hungary","796390","1190","29041","71","608891","8430","158458","338","82621","3013","5607336","581728","9639099","Europe","12","332","2","123","7","16439"
"Bangladesh","779535","848","12102","26","720471","852","46962","1149","4693","73","5698528","34307","166105663","Asia","213","13725","29","5","0.2","283"
"Jordan","722754","","9203","","710410","","3141","729","70235","894","6903678","670874","10290568","Asia","14","1118","1",NA,NA,"305"
"Serbia","705185","787","6646","17","673038","1677","25501","101","80992","763","3989567","458209","8706867","Europe","12","1310","2","90","2","2929"
"Switzerland","679510","2300","10729","1","617283","2412","51498","179","78021","1232","7273942","835192","8709301","Europe","13","812","1","264","0.1","5913"
"Japan","665547","6874","11255","90","579446","5533","74846","1209","5276","89","12913954","102377","126140961","Asia","190","11208","10","54","0.7","593"
"Austria","635780","887","10455","11","612523","1269","12802","322","70246","1155","35939913","3970903","9050816","Europe","14","866","0","98","1","1414"
"UAE","542158","","1623","","522356","","18179","","54251","162","46613437","4664386","9993478","Asia","18","6157","0",NA,NA,"1819"
"Lebanon","534968","","7569","","492270","","35129","333","78684","1113","4163257","612338","6798949","Asia","13","898","2",NA,NA,"5167"
"Morocco","514670","","9091","","502205","","3374","96","13803","244","6367171","170757","37287963","Africa","72","4102","6",NA,NA,"90"
"Malaysia","462190","4113","1822","34","418897","4190","41471","482","14124","56","10397529","317738","32723609","Asia","71","17960","3","126","1","1267"
"Nepal","439658","8467","4669","203","327653","6135","107336","","14859","158","2733510","92386","29587919","Asia","67","6337","11","286","7","3628"
"Saudi Arabia","430505","","7122","","414139","","9244","1344","12202","202","17812376","504872","35280979","Asia","82","4954","2",NA,NA,"262"
"Bulgaria","413320","","17194","","360002","","36124","516","59875","2491","2642503","382801","6903067","Europe","17","401","3",NA,NA,"5233"
"Ecuador","405783","","19442","","342878","","43463","594","22703","1088","1355202","75820","17873899","South America","44","919","13",NA,NA,"2432"
"Slovakia","387162","294","12168","33","370076","428","4918","214","70884","2228","2752948","504025","5461931","Europe","14","449","2","54","6","900"
"Belarus","373351","1109","2681","10","363873","1067","6797","","39522","284","6050830","640528","9446632","Europe","25","3524","2","117","1","720"
"Greece","371712","","11266","","333892","","26554","683","35814","1085","8707677","838978","10378916","Europe","28","921","1",NA,NA,"2558"
"Panama","369455","","6288","","358358","","4809","105","84480","1438","2497125","570996","4373282","North America","12","695","2",NA,NA,"1100"
"Kazakhstan","353140","2549","4017","33","310168","2704","38955","221","18615","212","10691113","563567","18970446","Asia","54","4723","2","134","2","2053"
"Croatia","349084","926","7664","41","334206","1537","7214","207","85490","1877","1912994","468491","4083312","Europe","12","533","2","227","10","1767"
"Azerbaijan","328994","326","4754","12","312460","1262","11780","","32197","465","3368394","329650","10218087","Asia","31","2149","3","32","1","1153"
"Georgia","327831","1390","4397","18","307334","1070","16100","","82317","1104","4511631","1132854","3982534","Asia","12","906","1","349","5","4043"
"Bolivia","324868","","13345","","267973","1461","43550","158","27507","1130","1287762","109037","11810296","South America","36","885","9",NA,NA,"3687"
"Tunisia","324823","","11693","","284754","","28376","445","27238","981","1378729","115613","11925349","Africa","37","1020","9",NA,NA,"2379"
"Paraguay","307457","","7427","","254360","","45670","592","42654","1030","1176104","163164","7208106","South America","23","971","6",NA,NA,"6336"
"Palestine","303270","","3401","","288891","","10978","78","58284","654","1784690","342992","5203302","Asia","17","1530","3",NA,NA,"2110"
"Kuwait","290006","763","1681","7","275745","1191","12580","190","67053","389","2446116","565576","4324999","Asia","15","2573","2","176","2","2909"
"Costa Rica","279926","","3514","","219105","","57307","482","54521","684","1083035","210942","5134282","North America","18","1461","5",NA,NA,"11162"
"Dominican Republic","274319","","3560","","232625","","38134","242","25071","325","1461677","133586","10941808","North America","40","3074","7",NA,NA,"3485"
"Ethiopia","264960","","3951","","215734","","45275","653","2257","34","2640295","22488","117408852","Africa","443","29716","44",NA,NA,"386"
"Denmark","264465","951","2499","","249487","804","12479","33","45520","430","45701715","7866255","5809844","Europe","22","2325","0","164",NA,"2148"
"Lithuania","263475","1125","4084","12","237431","989","21960","158","97972","1519","3074012","1143060","2689283","Europe","10","658","1","418","4","8166"
"Ireland","254870","420","4941","4","237168","421","12761","39","51124","991","4729538","948682","4985377","Europe","20","1009","1","84","0.8","2560"
"Moldova","253386","","5995","","244298","","3093","171","62940","1489","1033892","256814","4025841","Europe","16","672","4",NA,NA,"768"
"Slovenia","248520","471","4314","6","236049","943","8157","125","119528","2075","1224095","588738","2079185","Europe","8","482","2","227","3","3923"
"Egypt","242120","","14150","","179261","","48709","90","2328","136","2715258","26109","103995350","Africa","430","7349","38",NA,NA,"468"
"Guatemala","238787","","7832","","218321","","12634","5","13120","430","1322009","72635","18200794","North America","76","2324","14",NA,NA,"694"
"Uruguay","231901","","3318","","201367","","27216","511","66559","952","1965821","564219","3484143","South America","15","1050","2",NA,NA,"7811"
"Honduras","223922","930","5898","45","82187","","135837","510","22302","587","668892","66621","10040310","North America","45","1702","15","93","4","13529"
"Armenia","220447","230","4301","10","207464","712","8682","","74274","1449","1030335","347144","2968036","Asia","13","690","3","77","3","2925"
"Qatar","212667","244","524","2","205750","590","6393","215","75741","187","1964598","699692","2807805","Asia","13","5358","1","87","0.7","2277"
"Venezuela","211838","","2352","","195380","","14106","316","7468","83","3359014","118416","28366129","South America","134","12060","8",NA,NA,"497"
"Oman","202713","","2148","","186391","","14174","255","38848","412","1550000","297042","5218121","Asia","26","2429","3",NA,NA,"2716"
"Bosnia and Herzegovina","202143","140","8981","23","168549","404","24613","","61948","2752","937964","287444","3263121","Europe","16","363","3","43","7","7543"
"Bahrain","196105","","715","","179958","","15432","166","111921","408","4307946","2458628","1752175","Asia","9","2451","0",NA,NA,"8807"
"Libya","181179","","3085","","167629","","10465","","26062","444","981532","141190","6951847","Africa","38","2253","7",NA,NA,"1505"
"Nigeria","165612","","2066","","156387","","7159","11","787","10","1977479","9393","210526787","Africa","1271","101901","106",NA,NA,"34"
"Kenya","164720","","2968","","113248","","48504","117","3006","54","1733500","31639","54789380","Africa","333","18460","32",NA,NA,"885"
"North Macedonia","154494","","5168","","143069","","6257","124","74158","2481","748069","359079","2083300","Europe","13","403","3",NA,NA,"3003"
"Myanmar","143004","","3212","","132069","","7723","","2613","59","2597378","47462","54724978","Asia","383","17038","21",NA,NA,"141"
"Sri Lanka","136685","889","892","","110108","1306","25685","","6360","42","3050870","141961","21490889","Asia","157","24093","7","41",NA,"1195"
"Albania","131890","","2426","","121122","","8342","18","45874","844","666176","231707","2875076","Europe","22","1185","4",NA,NA,"2901"
"S. Korea","130380","747","1893","2","120395","489","8092","153","2541","37","9281291","180896","51307377","Asia","394","27104","6","15","0.04","158"
"Latvia","127053","666","2248","8","115670","689","9135","81","68012","1203","2470356","1322397","1868090","Europe","15","831","1","357","4","4890"
"Estonia","126642","279","1217","5","118008","426","7417","36","95413","917","1351340","1018107","1327307","Europe","10","1091","1","210","4","5588"
"Algeria","124889","","3355","","87003","","34531","28","2804","75","230861","5184","44532647","Africa","357","13274","193",NA,NA,"775"
