"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33321244","","593148","","26035314","","6692782","9406","100173","1783","453081055","1362085","332637917","North America","10","561","1",NA,NA,"20120"
"2","2","India","21077410","6558","230168","17","17280844","11768","3566398","8944","15148","165","296775209","213289","1391419959","Asia","66","6045","5","5","0.01","2563"
"3","3","Brazil","14936464","","414645","","13529572","","992247","8318","69851","1939","46616516","218005","213831876","South America","14","516","5",NA,NA,"4640"
"4","4","France","5706378","","105631","","4729174","","871573","5402","87260","1615","77308259","1182168","65395336","Europe","11","619","1",NA,NA,"13328"
"5","5","Turkey","4955594","","41883","","4589501","","324210","3418","58231","492","48459224","569423","85102402","Asia","17","2032","2",NA,NA,"3810"
"6","6","Russia","4847489","","111895","","4464550","","271044","2300","33205","766","130200000","891859","145987270","Europe","30","1305","1",NA,NA,"1857"
"7","7","UK","4425940","","127570","","4237913","","60457","181","64909","1871","160653676","2356092","68186507","Europe","15","535","0",NA,NA,"887"
"8","8","Italy","4070400","","122005","","3541266","","407129","2368","67406","2020","59879330","991597","60386756","Europe","15","495","1",NA,NA,"6742"
"9","9","Spain","3551262","","78566","","3232926","","239770","2231","75930","1680","47213067","1009472","46770061","Europe","13","595","1",NA,NA,"5127"
"10","10","Germany","3469448","","84593","","3107300","22600","277555","5049","41298","1007","56836969","676551","84009837","Europe","24","993","1",NA,NA,"3304"
"11","11","Argentina","3071496","","65865","","2734465","","271166","5342","67439","1446","11502946","252563","45544796","South America","15","691","4",NA,NA,"5954"
"12","12","Colombia","2934611","","76015","","2754940","","103656","6006","57161","1481","15126871","294646","51339078","South America","17","675","3",NA,NA,"2019"
"13","13","Poland","2811951","","68482","","2546751","6067","196718","2334","74367","1811","14546443","384708","37811614","Europe","13","552","3",NA,NA,"5203"
"14","14","Iran","2591609","","73568","","2039427","","478614","5499","30527","867","16511987","194495","84896558","Asia","33","1154","5",NA,NA,"5638"
"15","15","Mexico","2355985","3021","218007","267","1877347","2136","260631","4798","18113","1676","6697736","51492","130072243","North America","55","597","19","23","2","2004"
"16","16","Ukraine","2097024","6038","45451","374","1711709","14351","339864","177","48195","1045","9487141","218037","43511624","Europe","21","957","5","139","9","7811"
"17","17","Peru","1824457","","62976","","1720665","","40816","2660","54694","1888","11411358","342090","33357747","South America","18","530","3",NA,NA,"1224"
"18","18","Indonesia","1691658","","46349","","1547092","","98217","","6130","168","14947019","54164","275956555","Asia","163","5954","18",NA,NA,"356"
"19","19","Czechia","1641120","1857","29521","17","1569862","125","41737","435","153008","2752","19341919","1803318","10725740","Europe","7","363","1","173","2","3891"
"20","20","South Africa","1588221","","54557","","1510385","","23279","546","26498","910","10773227","179742","59937240","Africa","38","1099","6",NA,NA,"388"
"21","21","Netherlands","1531800","","17245","","1290221","","224334","808","89230","1005","12762141","743418","17166850","Europe","11","995","1",NA,NA,"13068"
"22","22","Canada","1257328","","24450","","1151207","","81671","1456","33070","643","32127668","845005","38020682","North America","30","1555","1",NA,NA,"2148"
"23","23","Chile","1222949","","26726","","1160945","","35278","3260","63516","1388","13303828","690953","19254323","South America","16","720","1",NA,NA,"1832"
"24","24","Iraq","1091954","","15640","","979041","","97273","538","26647","382","9524638","232431","40978427","Asia","38","2620","4",NA,NA,"2374"
"25","25","Philippines","1073555","","17800","","993042","","62713","750","9689","161","12037543","108635","110806740","Asia","103","6225","9",NA,NA,"566"
"26","26","Romania","1060895","","28616","","1002985","","29294","1121","55460","1496","8342560","436117","19129172","Europe","18","668","2",NA,NA,"1531"
"27","27","Belgium","1003746","4119","24406","39","876629","","102711","794","86291","2098","12759277","1096899","11632138","Europe","12","477","1","354","3","8830"
"28","28","Sweden","995595","","14151","","820798","","160646","403","98066","1394","8798383","866638","10152313","Europe","10","717","1",NA,NA,"15824"
"29","29","Pakistan","845833","4197","18537","108","743124","4397","84172","5107","3768","83","12056986","53709","224488668","Asia","265","12110","19","19","0.5","375"
"30","30","Israel","838767","","6370","","831218","","1179","91","91194","693","14315208","1556409","9197590","Asia","11","1444","1",NA,NA,"128"
"31","31","Portugal","838102","","16983","","798414","","22705","83","82396","1670","10731329","1055029","10171594","Europe","12","599","1",NA,NA,"2232"
"32","32","Hungary","787647","1680","28297","124","546246","7281","213104","485","81709","2935","5475551","568025","9639632","Europe","12","341","2","174","13","22107"
"33","33","Bangladesh","767338","","11755","","698465","","57118","1093","4621","71","5560678","33484","166069827","Asia","216","14128","30",NA,NA,"344"
"34","34","Jordan","716923","","8988","","696524","","11411","729","69683","874","6781275","659121","10288355","Asia","14","1145","2",NA,NA,"1109"
"35","35","Serbia","695875","","6478","","651260","","38137","145","79916","744","3881861","445800","8707632","Europe","13","1344","2",NA,NA,"4380"
"36","36","Switzerland","667380","","10685","","594764","","61931","220","76641","1227","7029684","807275","8707920","Europe","13","815","1",NA,NA,"7112"
"37","37","Austria","626239","","10311","","595877","","20051","447","69200","1139","33241683","3673238","9049695","Europe","14","878","0",NA,NA,"2216"
"38","38","Japan","612360","","10470","","538946","","62944","1114","4854","83","12082418","95779","126149387","Asia","206","12049","10",NA,NA,"499"
"39","39","Lebanon","530217","","7390","","473114","","49713","494","77978","1087","4055483","596428","6799614","Asia","13","920","2",NA,NA,"7311"
"40","40","UAE","529220","","1601","","509658","","17961","","52970","160","45058538","4509973","9990867","Asia","19","6240","0",NA,NA,"1798"
"41","41","Morocco","512656","","9043","","499491","","4122","160","13752","243","6301680","169044","37278402","Africa","73","4122","6",NA,NA,"111"
"42","42","Malaysia","424376","","1591","","389846","","32939","328","12972","49","9738804","297690","32714546","Asia","77","20562","3",NA,NA,"1007"
"43","43","Saudi Arabia","422316","","7018","","405607","","9691","1346","11974","199","17238146","488760","35269120","Asia","84","5026","2",NA,NA,"275"
"44","44","Bulgaria","407827","","16773","","344895","","46159","599","59069","2429","2556505","370282","6904204","Europe","17","412","3",NA,NA,"6686"
"45","45","Ecuador","393048","","18907","","329582","","44559","620","21997","1058","1314996","73595","17868040","South America","45","945","14",NA,NA,"2494"
"46","46","Slovakia","384317","","11886","","365587","","6844","286","70364","2176","2691638","492805","5461874","Europe","14","460","2",NA,NA,"1253"
"47","47","Panama","365975","","6252","","355828","","3895","105","83713","1430","2430628","555979","4371796","North America","12","699","2",NA,NA,"891"
"48","48","Belarus","363732","","2592","","354212","","6928","","38504","274","5920422","626719","9446699","Europe","26","3645","2",NA,NA,"733"
"49","49","Nepal","359610","","3475","","289783","","66352","","12159","117","2558051","86489","29576449","Asia","82","8511","12",NA,NA,"2243"
"50","50","Greece","352027","","10764","","318466","","22797","765","33914","1037","8244918","794306","10380023","Europe","29","964","1",NA,NA,"2196"
"51","51","Croatia","339412","","7315","","319962","","12135","246","83111","1791","1846554","452159","4083862","Europe","12","558","2",NA,NA,"2971"
"52","52","Kazakhstan","334812","2443","3833","37","288187","3816","42792","221","17654","202","10405087","548631","18965538","Asia","57","4948","2","129","2","2256"
"53","53","Azerbaijan","323841","","4617","","298949","","20275","","31699","452","3289864","322028","10216091","Asia","32","2213","3",NA,NA,"1985"
"54","54","Georgia","317719","1806","4227","20","297676","1144","15816","","79775","1061","4291292","1077483","3982701","Asia","13","942","1","453","5","3971"
"55","55","Tunisia","315600","","11122","","269653","","34825","529","26471","933","1339297","112332","11922647","Africa","38","1072","9",NA,NA,"2921"
"56","56","Bolivia","312407","1835","13123","41","257277","1349","42007","130","26460","1111","1216526","103036","11806815","South America","38","900","10","155","3","3558"
"57","57","Palestine","299736","","3317","","279652","","16767","136","57634","638","1763038","339000","5200703","Asia","17","1568","3",NA,NA,"3224"
"58","58","Paraguay","288974","","6798","","239165","","43011","552","40101","943","1127190","156420","7206191","South America","25","1060","6",NA,NA,"5969"
"59","59","Kuwait","280536","","1610","","264094","","14832","205","64885","372","2370265","548213","4323618","Asia","15","2685","2",NA,NA,"3430"
