"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"1","Global","",153738171,1969.40882417183,5582098,71.5075051763943,632531,3217281,41.2138478689223,91872,1.17689397706126,10713,""
"2","United States of America","Americas",32083656,9692.87,300281,90.72,0,571740,172.73,4413,1.33,0,"Community transmission"
"3","India","South-East Asia",20665148,1497.47,2667881,193.32,382315,226188,16.39,25001,1.81,3780,"Clusters of cases"
"4","Brazil","Americas",14779529,6953.13,410106,192.94,24619,408622,192.24,16686,7.85,983,"Community transmission"
"5","France","Europe",5567300,8559.89,149397,229.7,3606,104386,160.5,1811,2.78,279,"Community transmission"
"6","Turkey","Europe",4900121,5810.03,232840,276.08,24733,41191,48.84,2480,2.94,347,"Community transmission"
"7","Russian Federation","Europe",4839514,3316.22,60089,41.18,7770,111535,76.43,2555,1.75,337,"Clusters of cases"
"8","The United Kingdom","Europe",4421854,6513.65,14904,21.95,1649,127539,187.87,105,0.15,1,"Community transmission"
"9","Italy","Europe",4050708,6791.76,79594,133.45,5946,121433,203.6,1894,3.18,256,"Clusters of cases"
"10","Spain","Europe",3514942,7426.05,22404,47.33,0,78080,164.96,79,0.17,0,"Community transmission"
"11","Germany","Europe",3433516,4128.47,123215,148.15,7534,83591,100.51,1623,1.95,315,"Community transmission"
"12","Argentina","Americas",3021179,6684.65,141502,313.09,15920,64792,143.36,2705,5.99,540,"Community transmission"
"13","Colombia","Americas",2905254,5709.69,117951,231.81,11599,75164,147.72,3365,6.61,464,"Community transmission"
"14","Poland","Europe",2808052,7397.76,40018,105.43,2296,68133,179.5,2236,5.89,28,"Community transmission"
"15","Iran (Islamic Republic of)","Eastern Mediterranean",2575737,3066.61,137544,163.76,20150,73219,87.17,2687,3.2,344,"Community transmission"
"16","Mexico","Americas",2349900,1822.58,20366,15.8,1027,217345,168.57,2232,1.73,112,"Community transmission"
"17","Ukraine","Europe",2088410,4775.28,50162,114.7,2472,44916,102.7,1966,4.5,166,"Community transmission"
"18","Peru","Americas",1814127,5502.05,45941,139.33,3129,62375,189.18,2362,7.16,249,"Community transmission"
"19","Indonesia","South-East Asia",1686373,616.54,34579,12.64,4369,46137,16.87,1198,0.44,188,"Community transmission"
