"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"Belarus","368888","1214","2632","10","359687","1426","6569","","39050","279","5996492","634773","9446674","Europe","26","3589","2","129","1","695"
"Panama","367270","","6265","","356852","","4153","105","83998","1433","2458134","562199","4372353","North America","12","698","2",NA,NA,"950"
"Greece","362004","1427","11029","51","323458","","27517","728","34876","1063","8468558","815884","10379608","Europe","29","941","1","137","5","2651"
"Croatia","344494","665","7469","45","327404","1704","9621","234","84359","1829","1878350","459968","4083656","Europe","12","547","2","163","11","2356"
"Kazakhstan","342589","2350","3913","24","297268","3106","41408","221","18062","206","10455458","551234","18967379","Asia","55","4847","2","124","1","2183"
"Azerbaijan","326716","660","4680","14","306119","1539","15917","","31978","458","3330985","326029","10216840","Asia","31","2183","3","65","1","1558"
"Georgia","321919","1089","4281","18","300989","1489","16649","","80831","1075","4362839","1095465","3982638","Asia","12","930","1","273","5","4180"
"Tunisia","319512","","11350","","276198","","31964","529","26796","952","1356375","113755","11923660","Africa","37","1051","9",NA,NA,"2681"
"Bolivia","317547","1394","13205","23","260438","1007","43904","158","26892","1118","1242041","105185","11808120","South America","37","894","10","118","2","3718"
"Palestine","301437","","3351","","285575","","12511","87","57950","644","1770081","340290","5201678","Asia","17","1552","3",NA,NA,"2405"
"Paraguay","296306","","7050","","244795","","44461","570","41114","978","1145471","158941","7206909","South America","24","1022","6",NA,NA,"6169"
"Kuwait","284076","","1635","","268316","","14125","210","65695","378","2396532","554222","4324136","Asia","15","2645","2",NA,NA,"3267"
"Dominican Republic","270600","","3523","","231081","","35996","231","24734","322","1434503","131121","10940323","North America","40","3105","8",NA,NA,"3290"
"Costa Rica","265486","","3365","","212525","","49596","433","51715","655","1033203","201261","5133647","North America","19","1526","5",NA,NA,"9661"
"Ethiopia","262217","","3871","","208314","","50032","749","2234","33","2615290","22282","117369832","Africa","448","30320","45",NA,NA,"426"
"Denmark","259056","874","2497","","245562","564","10997","31","44591","430","42600965","7332900","5809566","Europe","22","2327","0","150",NA,"1893"
"Lithuania","257827","883","4034","8","232076","235","21717","188","95854","1500","2974312","1105775","2689798","Europe","10","667","1","328","3","8074"
"Ireland","252809","506","4921","2","235273","468","12615","31","50718","987","4641879","931240","4984624","Europe","20","1013","1","102","0.4","2531"
"Moldova","252749","145","5952","9","243534","339","3263","170","62780","1478","1019679","253275","4025968","Europe","16","676","4","36","2","810"
"Slovenia","246082","289","4293","7","232798","409","8991","129","118355","2065","1205766","579923","2079182","Europe","8","484","2","139","3","4324"
"Egypt","236272","","13845","","176363","","46064","90","2273","133","2715258","26116","103968943","Africa","440","7509","38",NA,NA,"443"
"Guatemala","235098","215","7733","16","213641","827","13724","5","12920","425","1307831","71874","18196260","North America","77","2353","14","12","0.9","754"
"Honduras","219288","958","5617","32","81382","222","132289","561","21845","560","651677","64920","10038156","North America","46","1787","15","95","3","13179"
"Armenia","219270","178","4234","9","204578","457","10458","","73879","1427","1014891","341949","2967960","Asia","14","701","3","60","3","3524"
"Uruguay","218800","","3082","","189739","","25979","526","62802","885","1897369","544598","3483979","South America","16","1130","2",NA,NA,"7457"
"Qatar","210603","","502","","200467","","9634","261","75006","179","1941171","691348","2807805","Asia","13","5593","1",NA,NA,"3431"
"Venezuela","206549","","2280","","188947","","15322","316","7281","80","3359014","118412","28367225","South America","137","12442","8",NA,NA,"540"
"Oman","201350","634","2120","15","184647","2951","14583","275","38600","406","1550000","297143","5216341","Asia","26","2461","3","122","3","2796"
"Bosnia and Herzegovina","200693","","8790","","164717","","27186","","61498","2694","922568","282702","3263398","Europe","16","371","4",NA,NA,"8331"
"Bahrain","187905","","678","","174357","","12870","114","107291","387","4222173","2410793","1751363","Asia","9","2583","0",NA,NA,"7349"
"Libya","179970","273","3070","7","166340","409","10560","","25893","442","974520","140207","6950571","Africa","39","2264","7","39","1","1519"
"Nigeria","165370","","2065","","156250","","7055","11","786","10","1939165","9214","210456778","Africa","1273","101916","109",NA,NA,"34"
"Kenya","163554","316","2895","12","111191","62","49468","133","2986","53","1719289","31389","54773162","Africa","335","18920","32","6","0.2","903"
"North Macedonia","154026","135","5093","14","137962","298","10971","124","73934","2445","740005","355208","2083301","Europe","14","409","3","65","7","5266"
"Myanmar","142947","13","3210","","132013","9","7724","","2612","59","2588880","47311","54720003","Asia","383","17047","21","0.2",NA,"141"
"Albania","131723","57","2412","1","117089","963","12222","18","45815","839","656473","228329","2875118","Europe","22","1192","4","20","0.3","4251"
