"World-country-continental","continent","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"North America","38853659","2072","871654","105","30896098","2225","7085907","16787","","","","","","North America","","",NA,NA,NA,""
"Asia","43961743","10422","569606","174","37951989","19106","5440148","32938","","","","","","Asia","","",NA,NA,NA,""
"South America","25924198","1063","704555","23","23520976","1114","1698667","27678","","","","","","South America","","",NA,NA,NA,""
"Europe","45513814","17953","1035732","620","40822506","50933","3655576","26286","","","","","","Europe","","",NA,NA,NA,""
"Africa","4673469","3","124715",NA,"4206759","17","341995","3295","","","","","","Africa","","",NA,NA,NA,""
"Oceania","63735","17","1209",NA,"60508","2","2018","3","","","","","","Australia/Oceania","","",NA,NA,NA,""
