"","Id","continent","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1",NA,"North America","38705661","7774","868619","300","30522952","4957","7314090","17128","","","","","","North America","","","",NA,NA,""
"2",NA,"Asia","42718427","232879","554791","2268","36720573","190885","5443063","33607","","","","","","Asia","","","",NA,NA,""
"3",NA,"South America","25587780","8313","694975","137","23243972","5001","1648833","27697","","","","","","South America","","","",NA,NA,""
"4",NA,"Europe","45288613","74633","1030634","2108","40445701","117696","3812278","27238","","","","","","Europe","","","",NA,NA,""
"5",NA,"Africa","4649987","931","123948","11","4183130","1035","342909","3453","","","","","","Africa","","","",NA,NA,""
"6",NA,"Oceania","63663","8","1209","","60439","3","2015","4","","","","","","Australia/Oceania","","","",NA,NA,""
