"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"1","Global","",154815600,1983.21084982503,5581553,71.5005236453783,847537,3236104,41.4549732970203,91459,1.17160338566751,14777,""
"2","United States of America","Americas",32167970,9718.34,332656,100.5,44834,572987,173.11,5016,1.52,797,"Community transmission"
"3","India","South-East Asia",21077410,1527.34,2700886,195.72,412262,230168,16.68,25336,1.84,3980,"Clusters of cases"
"4","Brazil","Americas",14856888,6989.52,415325,195.39,77359,411588,193.63,16566,7.79,2966,"Community transmission"
"5","France","Europe",5616180,8635.05,136853,210.42,25764,104914,161.31,1680,2.58,273,"Community transmission"
"6","Turkey","Europe",4955594,5875.8,204568,242.55,26476,41883,49.66,2485,2.95,356,"Community transmission"
"7","Russian Federation","Europe",4855128,3326.92,58571,40.14,7639,112246,76.92,2515,1.72,351,"Clusters of cases"
"8","The United Kingdom","Europe",4425944,6519.67,14143,20.83,2144,127570,187.92,90,0.13,27,"Community transmission"
"9","Italy","Europe",4070400,6824.78,75506,126.6,10579,122005,204.56,1749,2.93,267,"Clusters of cases"
"10","Spain","Europe",3551262,7502.78,41456,87.58,4006,78566,165.99,238,0.5,11,"Community transmission"
"11","Germany","Europe",3473503,4176.55,116235,139.76,21953,84126,101.15,1582,1.9,250,"Community transmission"
"12","Argentina","Americas",3047417,6742.7,142245,314.73,26238,65202,144.27,2603,5.76,410,"Community transmission"
"13","Colombia","Americas",2919805,5738.28,114924,225.86,14551,75627,148.63,3392,6.67,463,"Community transmission"
"14","Poland","Europe",2818378,7424.96,33025,87,6427,68993,181.76,1920,5.06,511,"Community transmission"
"15","Iran (Islamic Republic of)","Eastern Mediterranean",2591609,3085.51,131703,156.8,15872,73568,87.59,2602,3.1,349,"Community transmission"
"16","Mexico","Americas",2352964,1824.95,19838,15.39,3064,217740,168.88,2193,1.7,395,"Community transmission"
"17","Ukraine","Europe",2097024,4794.98,37559,85.88,6038,45451,103.93,1673,3.83,374,"Community transmission"
"18","Peru","Americas",1818689,5515.88,43627,132.32,4562,62674,190.08,2258,6.85,299,"Community transmission"
"19","Indonesia","South-East Asia",1691658,618.47,34623,12.66,5285,46349,16.95,1233,0.45,212,"Community transmission"
"20","Czechia","Europe",1641120,15346.26,12584,117.67,1872,29521,276.05,308,2.88,42,"Community transmission"
"21","South Africa","Africa",1588221,2677.89,9771,16.47,2073,54557,91.99,272,0.46,46,"Community transmission"
"22","Netherlands","Europe",1531800,8799.61,50708,291.3,7336,17245,99.07,141,0.81,24,"Community transmission"
"23","Canada","Americas",1249950,3311.81,54961,145.62,6708,24396,64.64,331,0.88,54,"Community transmission"
"24","Chile","Americas",1222949,6397.45,38678,202.33,3885,26726,139.81,653,3.42,30,"Community transmission"
"25","Iraq","Eastern Mediterranean",1091954,2714.78,40086,99.66,5813,15640,38.88,248,0.62,32,"Community transmission"
"26","Philippines","Western Pacific",1073555,979.69,53093,48.45,5685,17800,16.24,769,0.7,178,"Community transmission"
"27","Romania","Europe",1060895,5488.66,9116,47.16,1564,28616,148.05,783,4.05,142,"Community transmission"
"28","Belgium","Europe",1003746,8711.23,15295,132.74,2,24406,211.81,224,1.94,5,"Community transmission"
"29","Sweden","Europe",995595,9640.15,35124,340.1,7038,14151,137.02,33,0.32,0,"Community transmission"
"30","Pakistan","Eastern Mediterranean",841636,381.02,31405,14.22,4113,18429,8.34,899,0.41,119,"Community transmission"
"31","Israel","Europe",838767,9690.52,395,4.56,28,6370,73.59,9,0.1,1,"Community transmission"
"32","Portugal","Europe",838102,8140.15,2539,24.66,387,16983,164.95,10,0.1,2,"Clusters of cases"
"33","Hungary","Europe",787647,8062.28,10664,109.16,1680,28297,289.65,939,9.61,124,"Community transmission"
"34","Bangladesh","South-East Asia",767338,465.93,12724,7.73,1742,11755,7.14,450,0.27,50,"Community transmission"
"35","Jordan","Eastern Mediterranean",716923,7026.5,8658,84.86,1220,8988,88.09,234,2.29,33,"Community transmission"
"36","Serbia","Europe",695875,10046.26,9938,143.47,1402,6478,93.52,166,2.4,22,"Community transmission"
"37","Switzerland","Europe",664332,7676.04,8454,97.68,3,10012,115.68,38,0.44,1,"Community transmission"
"38","Austria","Europe",622213,6990.32,11480,128.97,1682,10065,113.08,162,1.82,26,"Community transmission"
"39","Japan","Western Pacific",616123,487.14,35135,27.78,3763,10517,8.32,410,0.32,47,"Clusters of cases"
"40","Lebanon","Eastern Mediterranean",530217,7768.24,5976,87.55,1012,7390,108.27,166,2.43,22,"Community transmission"
"41","United Arab Emirates","Eastern Mediterranean",529220,5350.84,12919,130.62,1954,1601,16.19,21,0.21,3,"Clusters of cases"
"42","Morocco","Eastern Mediterranean",512656,1388.91,2191,5.94,371,9043,24.5,28,0.08,5,"Community transmission"
"43","Malaysia","Western Pacific",424376,1311.18,22783,70.39,3744,1591,4.92,114,0.35,17,"Community transmission"
"44","Saudi Arabia","Eastern Mediterranean",422316,1213.07,7035,20.21,1016,7018,20.16,83,0.24,12,"Community transmission"
"45","Bulgaria","Europe",407827,5866.76,5336,76.76,1635,16773,241.29,495,7.12,164,"Clusters of cases"
"46","Ecuador","Americas",393048,2227.78,15386,87.21,1806,18907,107.16,437,2.48,44,"Community transmission"
"47","Kazakhstan","Europe",385491,2053.03,12829,68.32,0,4542,24.19,197,1.05,0,"Clusters of cases"
"48","Slovakia","Europe",384660,7047.8,2916,53.43,343,11920,218.4,273,5,34,"Clusters of cases"
"49","Panama","Americas",365619,8473.67,2086,48.35,320,6248,144.81,32,0.74,4,"Community transmission"
"50","Belarus","Europe",363732,3849.29,7808,82.63,1138,2592,27.43,70,0.74,10,"Community transmission"
"51","Nepal","South-East Asia",359610,1234.21,46911,161,8605,3475,11.93,264,0.91,58,"Clusters of cases"
"52","Greece","Europe",352027,3284.27,11534,107.61,2091,10764,100.42,522,4.87,96,"Community transmission"
"53","Croatia","Europe",341052,8404.09,10876,268,1640,7355,181.24,315,7.76,40,"Community transmission"
"54","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",328577,6440.9,5186,101.66,815,3585,70.27,111,2.18,21,"Community transmission"
"55","Azerbaijan","Europe",323841,3193.96,7320,72.2,1080,4617,45.54,156,1.54,20,"Clusters of cases"
"56","Georgia","Europe",317719,7964.53,8885,222.73,1806,4227,105.96,132,3.31,20,"Community transmission"
"57","Tunisia","Eastern Mediterranean",315600,2670.36,10287,87.04,1448,11122,94.11,559,4.73,106,"Community transmission"
"58","Bolivia (Plurinational State of)","Americas",310572,2660.6,10314,88.36,1588,13082,112.07,197,1.69,47,"Community transmission"
"59","Paraguay","Americas",286667,4019.14,14853,208.24,2214,6722,94.24,628,8.8,69,"Community transmission"
"60","Kuwait","Eastern Mediterranean",280536,6569.05,9391,219.9,1451,1610,37.7,64,1.5,9,"Community transmission"
"61","Dominican Republic","Americas",268561,2475.69,2742,25.28,491,3509,32.35,42,0.39,5,"Community transmission"
"62","Ethiopia","Africa",260139,226.28,4851,4.22,785,3795,3.3,156,0.14,23,"Community transmission"
"63","Costa Rica","Americas",257980,5064.27,14813,290.79,1304,3310,64.98,124,2.43,20,"Community transmission"
"64","Denmark","Europe",255470,4387.44,5685,97.63,988,2492,42.8,11,0.19,1,"Community transmission"
"65","Lithuania","Europe",254091,9093.87,8195,293.3,1392,4000,143.16,84,3.01,7,"Community transmission"
"66","Republic of Moldova","Europe",251820,6242.5,1682,41.7,316,5892,146.06,112,2.78,23,"Community transmission"
"67","Ireland","Europe",251087,5057.71,3230,65.06,415,4915,99,19,0.38,7,"Community transmission"
"68","Slovenia","Europe",243721,11628.68,5288,252.31,929,4579,218.48,22,1.05,1,"Clusters of cases"
"69","Egypt","Eastern Mediterranean",232905,227.59,7377,7.21,1102,13655,13.34,436,0.43,64,"Clusters of cases"
"70","Guatemala","Americas",231289,1290.99,6668,37.22,1194,7642,42.66,164,0.92,36,"Community transmission"
"71","Armenia","Europe",218325,7367.79,2797,94.39,425,4192,141.47,105,3.54,14,"Community transmission"
"72","Honduras","Americas",215833,2179.12,7477,75.49,1358,5386,54.38,174,1.76,19,"Community transmission"
"73","Qatar","Eastern Mediterranean",208877,7250.02,4588,159.25,645,489,16.97,44,1.53,6,"Community transmission"
"74","Uruguay","Americas",206946,5957.46,16850,485.07,2826,2861,82.36,409,11.77,65,"Community transmission"
"75","Venezuela (Bolivarian Republic of)","Americas",201807,709.69,8086,28.44,876,2208,7.76,126,0.44,19,"Community transmission"
"76","Bosnia and Herzegovina","Europe",199882,6092.45,2504,76.32,419,8736,266.28,272,8.29,23,"Community transmission"
"77","Oman","Eastern Mediterranean",198572,3888.52,6246,122.31,770,2071,40.56,70,1.37,9,"Community transmission"
"78","Bahrain","Eastern Mediterranean",183330,10774.14,8635,507.47,1450,664,39.02,32,1.88,2,"Community transmission"
"79","Libya","Eastern Mediterranean",178927,2603.98,2226,32.4,255,3058,44.5,39,0.57,9,"Community transmission"
"80","Nigeria","Africa",165273,80.18,280,0.14,40,2063,1,0,0,0,"Community transmission"
"81","Kenya","Africa",161393,300.15,3067,5.7,489,2825,5.25,137,0.25,20,"Community transmission"
"82","North Macedonia","Europe",153137,7350.41,1568,75.26,323,5016,240.76,244,11.71,24,"Community transmission"
"83","Myanmar","South-East Asia",142858,262.56,68,0.12,0,3209,5.9,0,0,0,"Clusters of cases"
"84","Puerto Rico","Americas",133705,4673.61,3344,116.89,198,2337,81.69,52,1.82,14,"Community transmission"
"85","Albania","Europe",131419,4566.65,560,19.46,92,2403,83.5,17,0.59,1,"Clusters of cases"
"86","Republic of Korea","Western Pacific",125519,244.82,4173,8.14,574,1851,3.61,26,0.05,4,"Clusters of cases"
"87","Estonia","Europe",124147,9341.55,2490,187.36,366,1187,89.32,39,2.93,4,"Clusters of cases"
"88","Algeria","Africa",123272,281.12,1692,3.86,273,3299,7.52,65,0.15,10,"Community transmission"
